Time,HorWindV,HorWndDir,Azimuth,RotSpeed,NacYawP,GenPwr,GenSpeed,GenTq,TwrBsFxt,TwrBsFyt,TwrBsFzt,TwrBsMxt,TwrBsMyt,TwrBsMzt,YawBrFxn,YawBrFyn,YawBrFzn,YawBrMxn,YawBrMyn,YawBrMzn,YawBrFxp,YawBrFyp,YawBrFzp,YawBrMxp,YawBrMyp,RootFxc1,RootFyc1,RootFzc1,RootFxc2,RootFyc2,RootFzc2,RootFxc3,RootFyc3,RootFzc3,RootMxc1,RootMyc1,RootMzc1,RootMxc2,RootMyc2,RootMzc2,RootMxc3,RootMyc3,RootMzc3,RootFxb1,RootFyb1,RootFxb2,RootFyb2,RootFxb3,RootFyb3,RootMxb1,RootMyb1,RootMxb2,RootMyb2,RootMxb3,RootMyb3,TipDxc1,TipDyc1,TipDzc1,TipDxc2,TipDyc2,TipDzc2,TipDxc3,TipDyc3,TipDzc3,RotTorq,BlPitch1,BlPitch2,BlPitch3,TwrClrnc1,TwrClrnc2,TwrClrnc3,TTDspFA,TTDspSS
30.0,19.22,-1.281,12.14,12.01,0.005852,5035.0,1165.0,43.74,436.1,-39.69,-6869.0,8037.0,42350.0,898.6,495.6,-38.32,-3452.0,4481.0,1034.0,898.6,495.6,-38.27,-3452.0,4480.0,1035.0,185.0,-104.0,432.8,181.8,-180.7,681.7,144.4,125.5,626.5,2787.0,5622.0,-44.3,3873.0,4840.0,-54.68,-2584.0,3854.0,-17.97,205.5,-53.3,221.9,-128.3,107.6,158.3,1258.0,6148.0,2508.0,5668.0,-3483.0,3065.0,2.7569999999999997,-1.107,-0.1191,1.867,-0.9384,-0.05401,0.9968,0.1717,-0.01213,4311.0,14.8,14.8,14.8,65.06,47.06,60.48,0.2917,-0.0759
30.125,19.16,0.06159,21.13,11.97,0.001577,5031.0,1165.0,43.68,389.3,-68.62,-6901.0,8910.0,39970.0,232.5,479.1,-32.45,-3484.0,4214.0,1629.0,232.6,479.1,-32.44,-3484.0,4214.0,1629.0,197.7,-149.5,431.8,153.1,-160.0,702.5,148.4,144.8,606.9,3816.0,5827.0,-56.15,3340.0,3792.0,-41.74,-3289.0,4263.0,-8.042,229.3,-93.97,188.9,-115.6,106.5,178.0,2199.0,6610.0,2259.0,4520.0,-4270.0,3280.0,2.76,-1.242,-0.1212,1.39,-0.7424,-0.0305,1.3619999999999999,0.1989,-0.0243,4116.0,14.82,14.82,14.82,64.97,40.37,62.61,0.2827,-0.07615
30.25,19.54,0.583,30.12,12.0,-0.007147,5006.0,1160.0,43.65,516.5,-15.01,-6897.0,7463.0,42240.0,-1141.0,396.5,-60.44,-3481.0,4132.0,1073.0,-1141.0,396.5,-60.48,-3481.0,4132.0,1072.0,167.9,-163.5,429.8,147.2,-141.6,723.0,174.2,137.6,590.3,3968.0,5210.0,-61.69,2904.0,3321.0,-50.79,-3030.0,4976.0,-0.8619,204.2,-115.1,178.5,-99.22,133.2,177.6,2504.0,6052.0,1958.0,3953.0,-4202.0,4035.0,2.775,-1.276,-0.1264,0.815,-0.5134,-0.010159999999999999,1.651,0.091,-0.0357,4096.0,14.82,14.82,14.82,64.83,33.06,63.32,0.2702,-0.076
30.375,19.88,1.621,39.1,11.95,-0.008055,5006.0,1160.0,43.64,383.2,-64.89,-6862.0,8596.0,36880.0,-1277.0,405.4,-25.02,-3446.0,4224.0,1824.0,-1277.0,405.4,-25.08,-3446.0,4224.0,1823.0,161.5,-169.8,444.7,131.5,-113.2,726.5,162.9,114.4,565.1,3864.0,4765.0,-57.56,2294.0,2635.0,-48.05,-2139.0,4885.0,0.1919,199.5,-122.9,156.0,-75.82,128.3,152.2,2518.0,5595.0,1545.0,3134.0,-3316.0,4176.0,2.516,-1.1740000000000002,-0.1051,0.3469,-0.3057,-0.002311,1.982,-0.1805,-0.05435,4274.0,14.81,14.81,14.81,64.69,25.46,63.6,0.2555,-0.07406
30.5,20.41,-0.7019,48.07,11.98,-0.008824,5004.0,1160.0,43.63,288.7,-39.56,-6810.0,7496.0,32080.0,-1386.0,360.6,-31.15,-3394.0,4208.0,3517.0,-1386.0,360.6,-31.21,-3394.0,4209.0,3517.0,162.4,-171.3,466.0,85.67,-66.27,732.0,173.6,79.48,536.8,3662.0,4665.0,-50.8,1258.0,1364.0,-46.55,-899.8,5155.0,-19.55,200.8,-124.1,99.75,-42.2,147.6,121.2,2349.0,5445.0,867.9,1640.0,-2186.0,4755.0,2.0669999999999997,-0.983,-0.06705,0.03879,-0.1226,-0.00036280000000000004,2.003,-0.3959,-0.054889999999999994,4256.0,14.79,14.79,14.79,64.54,18.36,63.89,0.2383,-0.07028999999999999
30.625,19.73,0.6627,57.05,11.96,-0.0061600000000000005,5009.0,1162.0,43.62,309.3,3.37,-6785.0,5806.0,30470.0,-949.4,277.9,-43.72,-3370.0,4262.0,4423.0,-949.4,277.9,-43.75,-3370.0,4263.0,4423.0,161.7,-183.8,489.4,64.98,-33.97,739.2,191.7,45.09,503.2,3677.0,4736.0,-48.37,359.0,694.9,-45.84,-54.87,5459.0,-10.51,203.3,-136.5,71.49,-16.26,173.8,92.51,2346.0,5518.0,169.7,763.5,-1446.0,5264.0,1.9569999999999999,-0.9125,-0.058120000000000005,-0.3391,0.1215,-0.002667,1.806,-0.4323,-0.042660000000000003,4244.0,14.79,14.79,14.79,64.31,13.96,64.19,0.2199,-0.06563
30.75,19.72,3.3680000000000003,66.01,11.92,0.00486,4996.0,1159.0,43.61,210.5,-32.67,-6818.0,6390.0,26070.0,816.3,297.4,-20.87,-3403.0,4098.0,3974.0,816.3,297.4,-20.85,-3403.0,4097.0,3974.0,167.3,-202.7,515.7,66.44,-6.829,736.0,158.2,48.22,473.8,4281.0,4910.0,-56.28,-294.4,661.1,-56.68,-269.5,4533.0,-16.01,213.4,-153.4,65.99,10.34,140.7,86.98,2887.0,5839.0,-453.3,564.2,-1417.0,4314.0,2.178,-1.079,-0.07518999999999999,-0.5256,0.2765,-0.00644,1.699,-0.3955,-0.039689999999999996,3965.0,14.77,14.77,14.77,64.02,15.1,64.46,0.2025,-0.06154
30.875,19.05,1.9580000000000002,74.93,11.9,0.0158,4966.0,1151.0,43.64,250.0,-13.63,-6884.0,5618.0,25580.0,2501.0,264.3,-21.77,-3469.0,4224.0,2971.0,2501.0,264.3,-21.7,-3469.0,4223.0,2972.0,198.1,-240.9,536.4,65.58,26.77,736.8,137.8,61.02,450.8,5409.0,5558.0,-78.94,-814.1,727.2,-59.73,-882.3,3971.0,-4.975,252.9,-182.5,56.61,42.58,117.8,94.08,3816.0,6751.0,-972.4,496.1,-1864.0,3615.0,2.31,-1.2830000000000001,-0.08687,-0.545,0.3274,-0.007324,1.626,-0.2805,-0.03734,3942.0,14.74,14.74,14.74,63.71,20.91,64.68,0.1855,-0.059379999999999995
31.0,19.01,2.4659999999999997,83.86,11.89,0.0142,4971.0,1151.0,43.7,278.9,22.29,-6916.0,4520.0,24850.0,2200.0,232.0,-23.14,-3502.0,4710.0,2361.0,2200.0,232.0,-23.08,-3502.0,4710.0,2362.0,201.9,-273.5,555.7,84.27,37.14,729.8,161.3,47.05,436.9,6201.0,5541.0,-85.56,-972.9,1259.0,-57.11,-1058.0,4747.0,18.76,264.6,-213.3,72.1,57.3,144.1,86.42,4592.0,6932.0,-1260.0,971.1,-2227.0,4323.0,2.267,-1.375,-0.08642999999999999,-0.5264,0.3655,-0.008411,1.5959999999999999,-0.1537,-0.0325,4459.0,14.69,14.69,14.69,63.42,28.41,64.88,0.1698,-0.05919
31.125,19.0,1.86,92.76,11.88,0.007562,4993.0,1155.0,43.73,144.1,-15.26,-6903.0,5669.0,19840.0,1192.0,261.2,-10.14,-3488.0,4443.0,2849.0,1192.0,261.2,-10.11,-3488.0,4442.0,2850.0,176.7,-259.3,573.8,89.89,60.66,712.1,192.3,32.5,433.8,6031.0,4857.0,-77.6,-1259.0,1567.0,-52.97,-713.1,5660.0,8.367,236.5,-206.2,71.61,81.43,177.8,80.12,4605.0,6225.0,-1615.0,1198.0,-2122.0,5295.0,2.312,-1.416,-0.09442,-0.3884,0.346,-0.006096,1.7819999999999998,-0.2369,-0.03927,4304.0,14.66,14.66,14.66,63.07,36.09,65.02,0.1582,-0.059660000000000005
