Time,HorWindV,HorWndDir,Azimuth,RotSpeed,NacYawP,GenPwr,GenSpeed,GenTq,TwrBsFxt,TwrBsFyt,TwrBsFzt,TwrBsMxt,TwrBsMyt,TwrBsMzt,YawBrFxn,YawBrFyn,YawBrFzn,YawBrMxn,YawBrMyn,YawBrMzn,YawBrFxp,YawBrFyp,YawBrFzp,YawBrMxp,YawBrMyp,RootFxc1,RootFyc1,RootFzc1,RootFxc2,RootFyc2,RootFzc2,RootFxc3,RootFyc3,RootFzc3,RootMxc1,RootMyc1,RootMzc1,RootMxc2,RootMyc2,RootMzc2,RootMxc3,RootMyc3,RootMzc3,RootFxb1,RootFyb1,RootFxb2,RootFyb2,RootFxb3,RootFyb3,RootMxb1,RootMyb1,RootMxb2,RootMyb2,RootMxb3,RootMyb3,TipDxc1,TipDyc1,TipDzc1,TipDxc2,TipDyc2,TipDzc2,TipDxc3,TipDyc3,TipDzc3,RotTorq,BlPitch1,BlPitch2,BlPitch3,TwrClrnc1,TwrClrnc2,TwrClrnc3,TTDspFA,TTDspSS
30.0,27.23,0.6944,76.0,12.08,0.02365,5058.0,1164.0,43.94,335.9,-187.3,-6843.0,21090.0,33480.0,3759.0,306.4,-157.0,-3428.0,5347.0,4673.0,3758.0,306.5,-156.9,-3428.0,5345.0,4675.0,209.7,-268.6,542.2,55.99,46.83,737.8,155.1,-17.09,474.9,5720.0,5387.0,-82.43,-2422.0,-1308.0,-78.22,1044.0,3358.0,-41.62,295.4,-169.8,34.21,64.48,150.1,42.61,3269.0,7145.0,-1751.0,-2124.0,-298.5,3504.0,2.028,-1.41,-0.07425,-2.825,1.6580000000000001,-0.1695,0.5698,-0.267,-0.004157,4699.0,22.14,22.14,22.14,63.7,22.28,64.81,0.2084,-0.1411
30.125,26.86,0.9953,85.08,12.12,0.033639999999999996,5108.0,1180.0,43.8,397.7,-107.0,-6876.0,16390.0,37500.0,5290.0,364.8,-141.2,-3460.0,5621.0,3181.0,5290.0,364.9,-140.9,-3460.0,5619.0,3184.0,236.4,-278.8,572.3,63.94,46.7,735.1,128.0,-36.06,447.6,5472.0,5636.0,-61.19,-2253.0,-1118.0,-70.18,1252.0,2549.0,-17.35,324.2,-169.0,41.59,67.38,132.1,14.9,2940.0,7284.0,-1664.0,-1886.0,196.9,2833.0,1.6769999999999998,-1.148,-0.04757,-2.99,1.729,-0.1938,0.3307,-0.2117,-0.001641,4877.0,22.17,22.17,22.17,63.45,29.51,65.01,0.2255,-0.1228
30.25,27.43,-1.011,94.16,12.11,0.026489999999999996,5101.0,1183.0,43.61,381.5,-93.94,-6868.0,13920.0,38510.0,4166.0,402.4,-120.9,-3452.0,4474.0,3585.0,4166.0,402.4,-120.8,-3452.0,4473.0,3587.0,186.8,-252.3,598.0,39.6,47.99,722.7,139.3,-27.71,434.6,4728.0,4199.0,-72.81,-1863.0,-1802.0,-56.27,637.2,2841.0,-27.37,268.4,-162.9,18.49,59.41,139.4,27.07,2788.0,5676.0,-1043.0,-2373.0,-485.0,2871.0,1.455,-1.012,-0.03847,-2.906,1.5519999999999998,-0.172,0.2885,-0.04685,-0.001074,3859.0,22.23,22.23,22.23,63.09,37.15,65.17,0.2398,-0.1028
30.375,28.12,-1.527,103.2,12.06,0.0196,5021.0,1168.0,43.5,447.5,-158.7,-6864.0,13590.0,41450.0,3101.0,362.2,-25.2,-3448.0,3805.0,4166.0,3101.0,362.2,-25.08,-3448.0,3804.0,4167.0,151.6,-244.8,624.5,17.14,51.21,716.9,159.4,-11.18,426.9,4612.0,3041.0,-62.32,-1311.0,-2336.0,-30.18,-149.0,3659.0,-28.99,233.0,-169.1,-3.5389999999999997,53.89,151.7,50.05,3116.0,4562.0,-328.1,-2659.0,-1524.0,3330.0,1.135,-0.9359,-0.02673,-2.735,1.295,-0.1431,0.5699,0.017509999999999998,-0.003415,3460.0,22.26,22.26,22.26,61.59,44.42,65.25,0.2475,-0.08018
30.5,28.58,-2.4930000000000003,112.3,12.02,0.014,4978.0,1157.0,43.51,348.3,65.21,-6848.0,3370.0,38200.0,2154.0,445.9,-65.09,-3432.0,4550.0,3650.0,2153.0,445.9,-64.98,-3432.0,4549.0,3651.0,153.7,-247.3,651.2,64.47,36.79,682.1,171.5,-22.75,435.7,4974.0,2992.0,-80.75,-856.4,-784.5,-28.86,-257.0,4168.0,-39.0,235.9,-170.7,45.74,58.47,167.4,43.9,3471.0,4653.0,-495.6,-1050.0,-1816.0,3760.0,0.7822,-0.8473,-0.0146,-2.365,1.151,-0.1176,0.966,-0.08691,-0.010879999999999999,4219.0,22.25,22.25,22.25,58.66,50.72,65.28,0.2474,-0.05458
30.625,28.49,-0.8219,121.3,12.02,0.007589,5022.0,1167.0,43.52,500.9,-23.54,-6843.0,3174.0,42610.0,1173.0,381.4,86.79,-3427.0,4786.0,2018.0,1172.0,381.4,86.84,-3427.0,4785.0,2018.0,164.4,-248.1,665.5,118.0,65.49,660.3,166.8,-52.46,436.4,5136.0,2982.0,-86.57,-1381.0,1135.0,-53.53,739.2,4491.0,-27.04,246.1,-167.4,84.47,105.3,174.3,14.59,3625.0,4704.0,-1708.0,527.9,-1016.0,4437.0,0.4453,-0.7413,-0.007893,-1.75,1.038,-0.07789,1.482,-0.4764,-0.030739999999999996,4843.0,22.24,22.24,22.24,54.38,55.9,65.25,0.2407,-0.02646
30.75,28.86,-2.211,130.3,12.09,0.003643,5051.0,1176.0,43.45,382.2,157.7,-6851.0,-5794.0,37470.0,590.6,410.1,38.0,-3435.0,4314.0,2481.0,590.3,410.1,38.02,-3435.0,4313.0,2481.0,144.0,-217.1,677.9,127.3,104.8,636.7,181.0,-107.1,450.5,4317.0,2404.0,-80.05,-2794.0,2010.0,-64.84,2466.0,4963.0,-42.65,215.5,-146.4,78.14,145.2,208.1,-30.53,3085.0,3861.0,-3347.0,802.2,402.8,5527.0,0.04788,-0.4556,-0.003599,-0.974,0.9983,-0.034910000000000004,1.935,-0.9589,-0.06037000000000001,4320.0,22.26,22.26,22.26,49.01,59.8,65.17,0.2301,0.001342
30.875,27.83,0.8358,139.4,12.04,0.0004678,5032.0,1174.0,43.37,318.8,104.5,-6882.0,-6636.0,33910.0,57.35,403.4,123.8,-3466.0,3626.0,2648.0,57.17,403.4,123.8,-3466.0,3626.0,2648.0,119.0,-176.6,687.6,134.4,134.0,632.9,187.8,-161.5,442.8,3116.0,1847.0,-52.27,-3759.0,2712.0,-50.39,4168.0,5098.0,-69.53,177.1,-118.3,73.55,174.9,235.0,-78.25,2183.0,2890.0,-4507.0,1084.0,1924.0,6298.0,-0.274,-0.1285,-0.004340999999999999,-0.2521,0.889,-0.0123,2.101,-1.319,-0.07827,3837.0,22.28,22.28,22.28,42.66,62.34,65.06,0.2165,0.0257
31.0,26.63,-0.9162,148.4,12.06,-0.007789,4985.0,1163.0,43.36,433.0,164.3,-6881.0,-10570.0,35980.0,-1275.0,310.9,139.8,-3466.0,3585.0,1658.0,-1275.0,311.0,139.8,-3466.0,3585.0,1658.0,114.8,-134.6,717.4,170.8,124.0,622.8,159.9,-195.1,428.3,2001.0,1530.0,-59.73,-3279.0,4005.0,-23.31,4914.0,4348.0,-79.92,157.3,-81.04,111.1,179.5,221.9,-119.9,1271.0,2175.0,-4553.0,2463.0,2899.0,5887.0,-0.6593,0.187,-0.01296,0.34,0.6116,-0.005672,2.072,-1.4580000000000002,-0.08334,3946.0,22.28,22.28,22.28,35.6,63.37,64.93,0.2006,0.04369
31.125,25.84,-0.9618,157.4,12.01,-0.008665,4992.0,1164.0,43.38,249.9,241.4,-6862.0,-14250.0,28010.0,-1366.0,349.0,135.2,-3447.0,3996.0,2476.0,-1366.0,349.0,135.2,-3447.0,3996.0,2475.0,101.7,-104.1,724.4,159.8,97.28,593.4,160.0,-204.5,441.2,1409.0,974.0,-69.33,-2162.0,4139.0,-26.24,4802.0,3796.0,-77.77,133.6,-57.79,111.0,150.6,225.5,-128.7,934.8,1435.0,-3569.0,3011.0,3006.0,5333.0,-1.047,0.4135,-0.026660000000000003,0.9722,0.1166,-0.01151,1.6269999999999998,-1.249,-0.053439999999999994,4368.0,22.26,22.26,22.26,28.15,63.63,64.82,0.1835,0.05414
31.25,26.01,0.1234,166.4,12.06,-0.014480000000000002,5015.0,1169.0,43.38,289.1,152.3,-6808.0,-11610.0,27240.0,-2269.0,221.9,201.3,-3394.0,3948.0,3877.0,-2269.0,222.0,201.2,-3394.0,3949.0,3876.0,58.06,-86.19,739.5,161.2,65.39,571.2,142.3,-189.5,444.3,992.4,-724.8,-63.26,-673.0,4249.0,-26.21,3888.0,3318.0,-75.62,86.38,-57.78,124.4,121.6,203.5,-121.4,1193.0,-294.8,-2233.0,3678.0,2341.0,4544.0,-1.534,0.5752,-0.04439,1.3019999999999998,-0.3285,-0.02309,0.9797,-0.7807,-0.0177,4521.0,22.26,22.26,22.26,21.12,63.91,64.69,0.1657,0.056929999999999994
31.375,26.53,2.838,175.5,12.07,-0.01779,5026.0,1173.0,43.34,141.2,251.8,-6736.0,-14320.0,20260.0,-2792.0,190.1,113.8,-3321.0,3734.0,6236.0,-2792.0,190.2,113.8,-3321.0,3736.0,6235.0,17.29,-68.65,740.3,194.9,15.07,534.2,132.4,-167.4,478.2,616.6,-2230.0,-40.99,573.5,4870.0,-29.66,2653.0,2905.0,-45.61,42.02,-56.97,174.6,87.79,185.9,-104.7,1416.0,-1830.0,-1315.0,4724.0,1354.0,3694.0,-2.281,0.8907,-0.09261,1.186,-0.4188,-0.018119999999999997,0.6603,-0.4075,-0.006522,4174.0,22.27,22.27,22.27,16.51,64.21,64.49,0.1486,0.05218
31.5,26.95,-1.078,184.5,11.99,-0.009816,5008.0,1170.0,43.31,41.9,112.5,-6714.0,-8391.0,15320.0,-1512.0,163.6,154.7,-3300.0,3422.0,7667.0,-1512.0,163.6,154.7,-3300.0,3424.0,7667.0,-12.37,-52.02,730.4,195.7,-3.335,499.6,125.0,-169.8,512.1,214.8,-3276.0,-30.01,773.0,4740.0,-13.91,2491.0,2799.0,-67.54,8.277000000000001,-52.83,182.4,71.1,180.0,-109.8,1441.0,-2950.0,-1082.0,4679.0,1244.0,3535.0,-2.978,1.222,-0.1598,0.9364,-0.3076,-0.010409999999999999,0.6154,-0.3403,-0.005308,3826.0,22.28,22.28,22.28,16.57,64.49,64.24,0.134,0.04027
31.625,27.05,0.1691,193.5,11.94,0.008697,4946.0,1154.0,43.34,147.5,148.1,-6776.0,-7421.0,17650.0,1393.0,84.38,70.58,-3362.0,3512.0,6784.0,1394.0,84.37,70.59,-3362.0,3511.0,6784.0,-28.36,-2.347,728.2,150.1,16.32,459.3,138.4,-214.8,549.5,-700.4,-3889.0,-35.61,16.26,3643.0,-21.73,3881.0,2954.0,-94.12,-25.36,-12.91,132.7,71.96,209.5,-146.4,824.9,-3865.0,-1365.0,3378.0,2473.0,4204.0,-3.264,1.41,-0.1897,0.7537,-0.15,-0.006495999999999999,0.5856,-0.5568,-0.0068579999999999995,3504.0,22.26,22.26,22.26,21.01,64.73,63.95,0.1228,0.02068
