HorWindV,RotSpeed,GenPwr,BlPitch1
19.22,12.01,5035.0,14.8
19.16,11.97,5031.0,14.82
19.54,12.0,5006.0,14.82
19.88,11.95,5006.0,14.81
20.41,11.98,5004.0,14.79
19.73,11.96,5009.0,14.79
19.72,11.92,4996.0,14.77
19.05,11.9,4966.0,14.74
19.01,11.89,4971.0,14.69
19.0,11.88,4993.0,14.66
18.56,11.88,4991.0,14.64
17.69,11.89,4978.0,14.6
17.41,11.86,4988.0,14.56
17.45,11.89,4993.0,14.54
16.85,11.83,4989.0,14.51
17.13,11.85,4966.0,14.47
17.57,11.77,4970.0,14.41
18.35,11.75,4952.0,14.35
17.93,11.68,4939.0,14.28
17.44,11.64,4933.0,14.19
16.94,11.58,4926.0,14.09
17.12,11.55,4916.0,13.98
17.27,11.53,4922.0,13.86
16.59,11.52,4942.0,13.75
16.28,11.51,4948.0,13.65
16.25,11.51,4952.0,13.55
15.74,11.49,4954.0,13.45
15.82,11.49,4961.0,13.35
15.83,11.48,4967.0,13.26
16.01,11.46,4970.0,13.17
15.8,11.42,4956.0,13.07
16.67,11.37,4937.0,12.95
17.07,11.36,4939.0,12.82
16.93,11.32,4955.0,12.7
16.82,11.33,4948.0,12.57
17.84,11.32,4955.0,12.44
17.04,11.36,4980.0,12.33
17.41,11.42,5015.0,12.24
17.04,11.48,5037.0,12.18
17.16,11.53,5047.0,12.14
17.77,11.55,5053.0,12.11
17.17,11.6,5052.0,12.08
16.7,11.61,5061.0,12.07
17.21,11.64,5055.0,12.05
17.83,11.59,5034.0,12.03
17.36,11.63,5012.0,11.98
17.08,11.61,5030.0,11.94
16.67,11.69,5042.0,11.91
16.88,11.71,5057.0,11.9
16.33,11.77,5061.0,11.9
16.57,11.8,5064.0,11.91
16.75,11.87,5071.0,11.92
16.96,11.93,5094.0,11.96
17.73,11.96,5104.0,12.02
18.39,11.97,5070.0,12.08
17.87,12.01,5049.0,12.1
17.18,12.01,5074.0,12.14
17.16,11.99,5068.0,12.19
17.93,11.98,5015.0,12.21
